Var1,Colony,density_5km,density_15km,density_30km,type,season,Date___fert,Name,newChip,Sex,AGE,pupSex,pup,FA_mom,FA_pup,Weight_mom,pup_weight,preg_list,non_preg_list,min_reproductive_state,Reproductive_State,comments,BellyWidth,preg_parasites,parasites,nonpreg_parasites,temprature_IMS,,,date,BMI,preg_ratio,Reproductive_State_numeric,,min_morphology_numeric,min_morphology,morphology,group,real_year,winter_group,mom&preg
182,Shontsino,12809.91532,5427.677893,2474.556445,city,spring,26-Mar-0023,SH-8,NaN,F,adult,F,1,94,49,132,31,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,16.4,,,91,1.677777778,0.90625,0,,1,natural,limestone cave,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,05-Jul-22,,538181,F,Adult,F,1,93,61,127,41,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,24.9,,,91,1.301075269,0.90625,0,,1,natural,limestone cave,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,05-Jul-22,,538671,F,Adult,F,1,92,57,128,38,NaN,1,mom pup,mom pup,,NaN,NaN,1,1,24.9,,,91,1.864583333,0.90625,0,,1,natural,limestone cave,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,05-Jul-22,,538669,F,Adult,M,1,100,71,129,48,NaN,1,mom pup,mom pup,,NaN,NaN,5,5,24.9,,,91,1.645833333,0.90625,0,,1,natural,limestone cave,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,05-Jul-22,,538210,F,Adult,M,1,93,44,102,31,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,24.9,,,91,1.606382979,0.90625,0,,1,natural,limestone cave,1,1,0,1
,Herzeliya,4212.3,4861.1,2455.9,city,,05-Jul-22,,538190,F,Adult,M,yes,93,68,134,42,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,26.3,,,91,1.440860215,0.90625,0,,1,natural,limestone cave,1,1,0,1
,Herzeliya,4212.3,4861.1,2455.9,city,,05-Jul-22,,538209,F,Adult,F,yes,91,57,96,36,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,26.3,,,91,1.663043478,0.90625,0,,1,natural,limestone cave,1,1,0,1
,Herzeliya,4212.3,4861.1,2455.9,city,,05-Jul-22,,538198,F,Adult,F,yes,95,62,145,39,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,26.3,,,91,1.623655914,0.90625,0,,1,natural,limestone cave,1,1,0,1
,Herzeliya,4212.3,4861.1,2455.9,city,,05-Jul-22,,538639,F,Adult,F,yes,93,45,121,89,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,26.3,,,91,1.510869565,0.90625,0,,1,natural,limestone cave,1,1,0,1
,Herzeliya,4212.3,4861.1,2455.9,city,,05-Jul-22,,538217,F,Adult,F,yes,92,41,133,27,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,26.3,,,91,1.76344086,0.90625,0,,1,natural,limestone cave,1,1,0,1
,Herzeliya,4212.3,4861.1,2455.9,city,,05-Jul-22,,538199,F,Adult,F,yes,94,63,129,40,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,26.3,,,91,1.655913978,0.90625,0,,1,natural,limestone cave,1,1,0,1
,Herzeliya,4212.3,4861.1,2455.9,city,,05-Jul-22,,538673,F,Adult,F,yes,94,60,130,33,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,26.3,,,91,1.65,0.90625,0,,1,natural,limestone cave,1,1,0,1
,Herzeliya,4212.3,4861.1,2455.9,city,,05-Jul-22,,538597,F,Adult,M,yes,95,42,144,25,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,26.3,,,91,1.659574468,0.90625,0,,1,natural,limestone cave,1,1,0,1
,Herzeliya,4212.3,4861.1,2455.9,city,,05-Jul-22,,538626,F,Adult,M,yes,97,72,127,47,NaN,1,mom pup,mom pup,,NaN,NaN,1,1,26.3,,,91,1.307692308,0.90625,0,,1,natural,limestone cave,1,1,0,1
8,Beit Govrin,7.714786059,361.8844481,567.7055625,rural,spring,28-Mar-0023,BG-9,NaN,F,adult,,0,91,NaN,129,NaN,NaN,1,non pregnant,non pregnant,,NaN,NaN,0,0,14.3,,,92,1.35483871,0.315789474,0,,0,man made,abandoned building,1,1,0,0
17,Beit Govrin,7.714786059,361.8844481,567.7055625,rural,spring,28-Mar-0023,BG-18,NaN,F,adult,,0,92,NaN,116,NaN,NaN,1,non pregnant,non pregnant,,NaN,NaN,0,0,14.3,,,92,1.666666667,0.315789474,0,,0,man made,abandoned building,1,1,0,0
21,Beit Govrin,7.714786059,361.8844481,567.7055625,rural,spring,28-Mar-0023,BG-22,NaN,F,adult,,0,94,NaN,146,NaN,NaN,1,non pregnant,non pregnant,,NaN,NaN,1,1,14.3,,,92,1.361702128,0.315789474,0,,0,man made,abandoned building,1,1,0,0
26,Segafim,407.8869522,341.8639742,923.1368704,rural,spring,28-Mar-0023,SG-5,NaN,F,adult,,0,90,NaN,118,NaN,NaN,1,non pregnant,non pregnant,,NaN,NaN,0,0,14.8,,,92,1.417582418,0.315789474,0,,0,man made,abandoned building,1,1,0,0
33,Segafim,407.8869522,341.8639742,923.1368704,rural,spring,28-Mar-0023,SG-12,NaN,F,adult,,0,90,NaN,122,NaN,NaN,1,non pregnant,non pregnant,,NaN,NaN,0,0,14.8,,,92,1.78021978,0.315789474,0,,0,man made,abandoned building,1,1,0,0
